file,class,method,variable,usage
/src/04-adjusted/src/java/br/ufmg/engsoft/reprova/routes/command/FindQuestionsCommand.java,br.ufmg.engsoft.reprova.routes.command.FindQuestionsCommand,"FindQuestionsCommand/2[br.ufmg.engsoft.reprova.database.QuestionsDAO,br.ufmg.engsoft.reprova.mime.json.Json]",json,3
/src/04-adjusted/src/java/br/ufmg/engsoft/reprova/routes/command/FindQuestionsCommand.java,br.ufmg.engsoft.reprova.routes.command.FindQuestionsCommand,"FindQuestionsCommand/2[br.ufmg.engsoft.reprova.database.QuestionsDAO,br.ufmg.engsoft.reprova.mime.json.Json]",questionsDAO,3
/src/04-adjusted/auth-microservice/src/main/java/br/ufmg/engsoft/services/RegistryService.java,br.ufmg.engsoft.services.RegistryService,"register/3[java.lang.String,java.lang.String,br.ufmg.engsoft.models.UserType]",userRepository,1
/src/04-adjusted/auth-microservice/src/main/java/br/ufmg/engsoft/services/RegistryService.java,br.ufmg.engsoft.services.RegistryService,RegistryService/0,userRepository,1
/src/04-adjusted/src/java/br/ufmg/engsoft/reprova/routes/Setup.java,br.ufmg.engsoft.reprova.routes.Setup,"routes/3[br.ufmg.engsoft.reprova.mime.json.Json,br.ufmg.engsoft.reprova.database.QuestionsDAO,br.ufmg.engsoft.reprova.database.CourseDAO]",port,1
/src/04-adjusted/src/java/br/ufmg/engsoft/reprova/routes/Setup.java,br.ufmg.engsoft.reprova.routes.Setup,"routes/3[br.ufmg.engsoft.reprova.mime.json.Json,br.ufmg.engsoft.reprova.database.QuestionsDAO,br.ufmg.engsoft.reprova.database.CourseDAO]",logger,4
/src/04-adjusted/src/java/br/ufmg/engsoft/reprova/routes/command/DeleteCourseCommand.java,br.ufmg.engsoft.reprova.routes.command.DeleteCourseCommand,"execute/2[br.ufmg.engsoft.reprova.routes.command.Request,br.ufmg.engsoft.reprova.routes.command.Response]",courseDAO,1
/src/04-adjusted/src/java/br/ufmg/engsoft/reprova/routes/command/DeleteCourseCommand.java,br.ufmg.engsoft.reprova.routes.command.DeleteCourseCommand,DeleteCourseCommand/1[br.ufmg.engsoft.reprova.database.CourseDAO],courseDAO,3
/src/04-adjusted/src/tests/br/ufmg/engsoft/reprova/tests/database/CoarseGrainedCourseDAOTest.java,br.ufmg.engsoft.reprova.tests.database.CoarseGrainedCourseDAOTest,test_retrieval/0,dao,2
/src/04-adjusted/src/tests/br/ufmg/engsoft/reprova/tests/database/CoarseGrainedCourseDAOTest.java,br.ufmg.engsoft.reprova.tests.database.CoarseGrainedCourseDAOTest,setup/0,dao,1
/src/04-adjusted/src/tests/br/ufmg/engsoft/reprova/tests/database/CoarseGrainedCourseDAOTest.java,br.ufmg.engsoft.reprova.tests.database.CoarseGrainedCourseDAOTest,setup/0,logger,2
/src/04-adjusted/src/tests/br/ufmg/engsoft/reprova/tests/database/CoarseGrainedCourseDAOTest.java,br.ufmg.engsoft.reprova.tests.database.CoarseGrainedCourseDAOTest,setup/0,json,2
/src/04-adjusted/src/tests/br/ufmg/engsoft/reprova/tests/database/CoarseGrainedCourseDAOTest.java,br.ufmg.engsoft.reprova.tests.database.CoarseGrainedCourseDAOTest,setup/0,db,3
/src/04-adjusted/src/tests/br/ufmg/engsoft/reprova/tests/database/CoarseGrainedCourseDAOTest.java,br.ufmg.engsoft.reprova.tests.database.CoarseGrainedCourseDAOTest,assumeConnection/0,db,1
/src/04-adjusted/src/tests/br/ufmg/engsoft/reprova/tests/database/CoarseGrainedCourseDAOTest.java,br.ufmg.engsoft.reprova.tests.database.CoarseGrainedCourseDAOTest,test_insertion/0,dao,1
/src/04-adjusted/src/tests/br/ufmg/engsoft/reprova/tests/database/FineGrainedCourseDAOTest.java,br.ufmg.engsoft.reprova.tests.database.FineGrainedCourseDAOTest,setup/0,dao,1
